Year,Month,Page path and screen class,Views
2026,02,/en/moving-country/irish-citizenship/becoming-an-irish-citizen-through-naturalisation/,6456
2026,01,/en/social-welfare/carers/carers-benefit/,6453
2026,03,/en/housing/housing-grants-and-schemes/grants-for-home-renovations-and-improvements/better-energy-homes-scheme/,6450
2026,03,/en/social-welfare/unemployed-people/jobseekers-pay-related-benefit/,6432
2026,07,/en/moving-country/irish-citizenship/irish-citizenship-through-birth-or-descent/,6370
2026,05,/en/social-welfare/,6359
2026,06,/en/education/primary-and-post-primary-education/attendance-and-discipline-in-schools/school-terms-in-primary-and-postprimary/,6356
2026,03,/en/social-welfare/supplementary-welfare-schemes/supplementary-welfare-allow/,6346
2026,02,/en/social-welfare/disability-and-illness/invalidity-pension/,6322
2026,04,/en/social-welfare/extra-social-welfare-benefits/free-travel/,6263
2026,03,/en/moving-country/ukrainian-refugees-in-ireland/accommodation-recognition-payment/,6225
2026,01,/en/social-welfare/older-and-retired-people/state-pension-contributory-pre-2025/,6224
2026,03,/en/social-welfare/disability-and-illness/invalidity-pension/,6222
2026,02,/en/money-and-tax/tax/income-tax/how-your-tax-is-calculated/,6174
2026,01,/en/travel-and-recreation/passports/applying-for-or-renewing-an-irish-passport/,6154
2026,06,/en/health/medical-cards-and-gp-visit-cards/medical-card/,6144
2026,02,/en/social-welfare/supplementary-welfare-schemes/supplementary-welfare-allow/,6098
2026,06,/en/social-welfare/families-and-children/one-parent-family-payment/,6048
2026,01,/en/money-and-tax/tax/income-tax/taxation-of-married-people/,6033
2026,05,/en/housing/local-authority-and-social-housing/applying-for-local-authority-housing/,6014
2026,07,/en/social-welfare/families-and-children/one-parent-family-payment/,6010
2026,04,/en/employment/employment-rights-and-conditions/leave-and-holidays/parents-leave/,6004
2026,06,/en/social-welfare/extra-social-welfare-benefits/fuel-allowance/,5988
2026,02,/en/money-and-tax/budgets/social-welfare-rates-announced-in-budget-2026/,5984
2026,05,/en/social-welfare/families-and-children/child-benefit/,5981
2026,02,/en/employment/employment-rights-and-conditions/leave-and-holidays/parental-leave/,5960
2026,01,/en/moving-country/irish-citizenship/your-right-to-irish-citizenship/,5930
2026,06,/en/social-welfare/,5917
2026,03,/en/social-welfare/disability-and-illness/domiciliary-care-allowance/,5885
2026,05,/en/moving-country/irish-citizenship/foreign-births-register/,5882
2026,05,/en/social-welfare/extra-social-welfare-benefits/free-travel/,5878
2026,02,/en/social-welfare/unemployed-people/jobseekers-pay-related-benefit/,5876
2026,06,/en/housing/renting-a-home/help-with-renting/housing-assistance-payment/,5850
2026,03,/en/employment/employment-rights-and-conditions/leave-and-holidays/parental-leave/,5830
2026,01,/en/housing/owning-a-home/help-with-buying-a-home/first-home-scheme/,5799
2026,07,/en/social-welfare/extra-social-welfare-benefits/free-travel/,5787
2026,04,/en/social-welfare/supplementary-welfare-schemes/supplementary-welfare-allow/,5782
2026,03,/en/social-welfare/older-and-retired-people/state-pension-non-contributory/,5710
2026,02,/en/social-welfare/disability-and-illness/domiciliary-care-allowance/,5687
2026,02,/en/social-welfare/families-and-children/maternity-benefit/,5682
2026,01,/en/social-welfare/irish-social-welfare-system/social-insurance-prsi/paying-social-insurance/,5661
2026,05,/en/social-welfare/supplementary-welfare-schemes/supplementary-welfare-allow/,5636
2026,03,/en/social-welfare/families-and-children/maternity-benefit/,5619
2026,07,/en/social-welfare/,5612
2026,02,/en/money-and-tax/tax/income-tax-credits-and-reliefs/taxation-and-medical-expenses/,5610
2026,05,/en/housing/housing-grants-and-schemes/grants-for-home-renovations-and-improvements/warmer-homes-scheme/,5607
2026,05,/en/social-welfare/unemployed-people/jobseekers-pay-related-benefit/,5576
2026,03,/en/moving-country/irish-citizenship/becoming-an-irish-citizen-through-naturalisation/,5575
2026,06,/en/employment/employment-rights-and-conditions/pay-and-employment/minimum-wage/,5551
2026,07,/en/housing/renting-a-home/help-with-renting/housing-assistance-payment/,5542
2026,07,/en/housing/local-authority-and-social-housing/applying-for-local-authority-housing/,5539
2026,03,/en/money-and-tax/budgets/social-welfare-rates-announced-in-budget-2026/,5522
2026,01,/en/housing/housing-grants-and-schemes/housing-supports-for-older-people-and-people-with-disabilities/housing-adaptation-grant-for-people-with-disability/,5501
2026,04,/en/education/state-examinations/examination-fees/,5498
2026,01,/en/travel-and-recreation/motoring/motor-tax-and-insurance/motor-tax-rates/,5491
2026,01,/en/social-welfare/irish-social-welfare-system/personal-public-service-number/,5483
2026,06,/en/employment/employment-rights-and-conditions/leave-and-holidays/parental-leave/,5476
2026,03,/en/social-welfare/families-and-children/child-benefit/,5475
2026,05,/en/employment/employment-rights-and-conditions/leave-and-holidays/parental-leave/,5475
2026,03,/en/housing/housing-grants-and-schemes/grants-for-home-renovations-and-improvements/warmer-homes-scheme/,5460
2026,01,/en/housing/owning-a-home/buying-a-home/mortgage-interest-relief/,5453
2026,05,/en/social-welfare/disability-and-illness/domiciliary-care-allowance/,5453
2026,06,/en/moving-country/irish-citizenship/foreign-births-register/,5446
2026,04,/en/moving-country/irish-citizenship/becoming-an-irish-citizen-through-naturalisation/,5440
2026,03,/en/employment/employment-rights-and-conditions/pay-and-employment/minimum-wage/,5435
2026,02,/en/social-welfare/older-and-retired-people/state-pension-contributory-pre-2025/,5432
2026,08,/en/,5426
2026,03,/en/money-and-tax/personal-finance/pensions/auto-enrolment/,5416
2026,06,/en/housing/local-authority-and-social-housing/applying-for-local-authority-housing/,5413
2026,01,/en/money-and-tax/budgets/budget-2026/,5411
2026,06,/en/social-welfare/unemployed-people/jobseekers-pay-related-benefit/,5392
2026,02,/en/social-welfare/families-and-children/child-benefit/,5389
2026,01,/en/housing/owning-a-home/help-with-buying-a-home/help-to-buy-scheme/,5358
2026,02,/en/travel-and-recreation/passports/applying-for-or-renewing-an-irish-passport/,5341
2026,02,/en/housing/housing-grants-and-schemes/grants-for-home-renovations-and-improvements/warmer-homes-scheme/,5331
2026,05,/en/employment/employment-rights-and-conditions/pay-and-employment/minimum-wage/,5326
2026,04,/en/social-welfare/unemployed-people/jobseekers-pay-related-benefit/,5322
2026,06,/en/money-and-tax/personal-finance/pensions/auto-enrolment/,5318
2026,03,/en/employment/employment-rights-and-conditions/leave-and-holidays/maternity-leave/,5311
2026,01,/en/social-welfare/disability-and-illness/treatment-benefit-scheme/,5296
2026,03,/en/employment/employment-rights-and-conditions/leave-and-holidays/annual-leave/,5295
2026,04,/en/housing/housing-grants-and-schemes/housing-supports-for-older-people-and-people-with-disabilities/housing-aid-for-older-people-grant/,5287
2026,05,/en/employment/employment-rights-and-conditions/leave-and-holidays/parents-leave/,5287
2026,02,/en/employment/employment-rights-and-conditions/leave-and-holidays/maternity-leave/,5285
2026,01,/en/travel-and-recreation/motoring/buying-or-selling-a-vehicle/change-of-ownership/,5282
2026,01,/en/travel-and-recreation/transport-and-disability/tax-relief-for-disabled-drivers-and-disabled-passengers/,5281
2026,02,/en/social-welfare/irish-social-welfare-system/public-services-card/,5263
2026,03,/en/housing/renting-a-home/changes-to-the-rules-for-renting-from-march-2026/,5254
2026,03,/en/social-welfare/carers/carers-benefit/,5210
2026,02,/en/employment/employment-rights-and-conditions/leave-and-holidays/annual-leave/,5209
2026,03,/en/housing/housing-grants-and-schemes/housing-supports-for-older-people-and-people-with-disabilities/housing-aid-for-older-people-grant/,5150
2026,07,/en/housing/housing-grants-and-schemes/local-authority-housing-grants-and-supports/vacant-property-refurbishment-grant/,5141
2026,04,/en/social-welfare/families-and-children/child-benefit/,5138
2026,04,/en/social-welfare/disability-and-illness/invalidity-pension/,5134
2026,04,/en/employment/employment-rights-and-conditions/leave-and-holidays/parental-leave/,5097
2026,01,/en/moving-country/visas-for-ireland/visa-requirements-for-entering-ireland/,5094
2026,07,/en/social-welfare/unemployed-people/jobseekers-pay-related-benefit/,5093
2026,06,/en/social-welfare/supplementary-welfare-schemes/supplementary-welfare-allow/,5090
2026,08,/en/employment/employment-rights-and-conditions/leave-and-holidays/public-holidays/,5090
2026,04,/en/education/third-level-education/fees-and-supports-for-third-level-education/student-grant-scheme/,5087
2026,03,/en/social-welfare/older-and-retired-people/state-pension-contributory-pre-2025/,5071
2026,01,/en/employment/employment-rights-and-conditions/leave-and-holidays/types-of-leave-from-work/,5067
2026,01,/en/health/health-services/health-services-for-older-people/fair-deal-scheme/,5052
2026,04,/en/employment/employment-rights-and-conditions/pay-and-employment/minimum-wage/,5049
2026,04,/en/social-welfare/older-and-retired-people/state-pension-non-contributory/,5037
2026,01,/en/social-welfare/irish-social-welfare-system/claiming-a-social-welfare-payment/claiming-and-increase-in-your-payment-for-a-child-dependant/,5029
2026,06,/en/employment/employment-rights-and-conditions/leave-and-holidays/parents-leave/,5029
2026,06,/en/social-welfare/extra-social-welfare-benefits/free-travel/,5017
2026,02,/en/moving-country/irish-citizenship/your-right-to-irish-citizenship/,5005
2026,02,/en/employment/unemployment-and-redundancy/employment-support-schemes/basic-income-arts/,5001
2026,03,/en/social-welfare/irish-social-welfare-system/personal-public-service-number/,4954
2026,04,/en/about/contact-us/,4950
2026,01,/en/social-welfare/older-and-retired-people/payment-for-people-retired-at-65/,4941
2026,02,/en/social-welfare/disability-and-illness/treatment-benefit-scheme/,4934
2026,02,/en/about/contact-us/,4933
2026,03,/en/social-welfare/supplementary-welfare-schemes/additional-needs-payment/,4920
2026,01,/en/money-and-tax/tax/income-tax-credits-and-reliefs/introduction-to-income-tax-credits-and-reliefs/,4900
2026,04,/en/employment/employment-rights-and-conditions/leave-and-holidays/annual-leave/,4890
2026,07,/en/moving-country/irish-citizenship/foreign-births-register/,4874
2026,03,/en/social-welfare/irish-social-welfare-system/public-services-card/,4861
2026,04,/en/social-welfare/families-and-children/maternity-benefit/,4815
2026,04,/en/housing/housing-grants-and-schemes/grants-for-home-renovations-and-improvements/warmer-homes-scheme/,4808
2026,03,/en/social-welfare/carers/carers-support-grant/,4803
2026,05,/en/social-welfare/older-and-retired-people/state-pension-non-contributory/,4787
2026,01,/en/money-and-tax/tax/income-tax-credits-and-reliefs/eworking-and-tax-relief/,4784
2026,07,/en/employment/employment-rights-and-conditions/pay-and-employment/minimum-wage/,4774
2026,03,/en/money-and-tax/tax/income-tax/how-your-tax-is-calculated/,4769
2026,01,/en/moving-country/moving-to-ireland/coming-to-live-in-ireland/importing-car-into-ireland/,4767
2026,07,/en/employment/employment-rights-and-conditions/leave-and-holidays/parental-leave/,4766
